codigo_produto,produto,categoria,marca,unidade,custo_unitario,preco_venda,estoque_atual,estoque_minimo,estoque_maximo,media_vendas_mensais,lead_time_dias,dias_sem_venda,ultima_entrada,validade
LIMP001,Detergente Neutro 500ml,Limpeza Geral,BrilhoMax,UN,2.9,4.99,18,30,120,15,45,12,2026-08-10,2026-09-15
LIMP002,Detergente Limão 500ml,Limpeza Geral,BrilhoMax,UN,2.85,4.99,75,40,180,20,60,8,2026-08-09,2026-09-10
LIMP003,Desinfetante Floral 2L,Desinfetantes,CasaFácil,UN,6.4,10.9,22,35,100,12,35,25,2026-08-08,2026-09-20
LIMP004,Desinfetante Lavanda 2L,Desinfetantes,CasaFácil,UN,6.5,11.5,140,50,180,10,25,42,2026-08-07,2026-09-30
LIMP005,Água Sanitária 1L,Limpeza Geral,Clarex,UN,3.2,5.49,12,35,100,15,40,5,2026-08-11,2026-09-05
LIMP006,Água Sanitária 5L,Limpeza Geral,Clarex,UN,11.8,18.9,48,20,70,8,20,14,2026-08-06,2026-09-25
LIMP007,Detergente Alcalino 5L,Limpeza Profissional,ProClean,GL,24.5,39.9,9,12,30,4,10,18,2026-08-05,2026-10-05
LIMP008,Desengordurante 500ml,Limpeza Geral,BrilhoMax,UN,7.2,12.9,65,25,90,8,25,10,2026-08-10,2026-09-18
LIMP009,Desengraxante 1L,Limpeza Profissional,ProClean,UN,14.9,24.9,7,15,45,5,12,20,2026-08-04,2026-09-28
LIMP010,Limpador Multiuso 500ml,Limpeza Geral,BrilhoMax,UN,4.1,7.49,110,45,160,12,35,35,2026-08-10,2026-09-22
LIMP011,Limpador Perfumado 1L,Limpeza Geral,CasaFácil,UN,5.6,9.9,16,30,90,10,30,7,2026-08-09,2026-09-12
LIMP012,Limpador de Vidros 500ml,Limpeza Geral,CristalLar,UN,6.9,11.9,92,30,120,7,20,38,2026-08-03,2026-10-01
LIMP013,Cera Líquida Incolor 750ml,Tratamento de Pisos,BrilhoPiso,UN,9.8,16.9,34,20,70,5,15,22,2026-08-02,2026-10-10
LIMP014,Cera Acrílica 5L,Tratamento de Pisos,BrilhoPiso,GL,58.0,89.9,8,10,25,2,6,16,2026-08-01,2026-10-15
LIMP015,Removedor de Cera 1L,Tratamento de Pisos,ProClean,UN,13.5,22.9,27,15,50,4,12,13,2026-08-04,2026-09-27
LIMP016,Sabão em Pó 1kg,Lavanderia,LavaBem,UN,8.9,14.9,125,50,150,15,40,48,2026-08-11,2026-09-08
LIMP017,Sabão Líquido 5L,Lavanderia,LavaBem,GL,22.0,34.9,14,20,60,6,18,9,2026-08-07,2026-09-14
LIMP018,Amaciante 2L,Lavanderia,LavaBem,UN,9.4,15.9,85,35,120,10,30,31,2026-08-09,2026-09-19
LIMP019,Álcool 70% 1L,Higienização,Higix,UN,5.8,9.9,19,40,100,12,35,6,2026-08-11,2026-09-06
LIMP020,Álcool Gel 500g,Higienização,Higix,UN,6.3,10.9,70,25,90,8,20,29,2026-08-10,2026-09-23
LIMP021,Esponja Multiuso c/3,Acessórios,LarPrático,PCT,3.9,6.9,155,60,200,20,50,55,2026-08-08,2026-09-29
LIMP022,Esponja de Aço c/8,Acessórios,LarPrático,PCT,2.7,4.9,210,80,250,25,60,62,2026-08-06,2026-09-26
LIMP023,Pano Multiuso c/5,Acessórios,LarPrático,PCT,7.5,12.9,42,25,80,7,18,19,2026-08-05,2026-10-02
LIMP024,Flanela 40x60cm,Acessórios,LarPrático,UN,4.8,8.9,95,30,120,8,25,44,2026-08-02,2026-10-04
LIMP025,Luva de Limpeza M,EPIs,ProtegeLar,PAR,4.2,7.9,11,30,80,10,25,4,2026-08-11,2026-09-03
LIMP026,Luva de Limpeza G,EPIs,ProtegeLar,PAR,4.3,7.9,58,25,70,8,20,27,2026-08-09,2026-09-16
LIMP027,Saco para Lixo 30L c/50,Descartáveis,EcoSaco,PCT,10.5,17.9,18,25,70,6,18,11,2026-08-10,2026-09-11
LIMP028,Saco para Lixo 100L c/25,Descartáveis,EcoSaco,PCT,18.9,31.9,6,15,40,4,10,15,2026-08-08,2026-09-21
LIMP029,Rodo 40cm,Acessórios,LarPrático,UN,12.5,21.9,31,15,50,3,10,17,2026-08-03,2026-10-08
LIMP030,Vassoura Multiuso,Acessórios,LarPrático,UN,15.9,27.9,24,12,40,3,8,23,2026-08-01,2026-10-12
